,The Picture of Dorian Gray,The Prince,The Republic,The Problems of Philosophy,Second Treatise of Government,Beyond Good and Evil,Siddhartha,The Communist Manifesto,On Liberty,Democracy and Education: An Introduction to the Philosophy of Education,The Poetics of Aristotle,The Consolation of Philosophy,Ethics,The Antichrist,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,Nature,A Treatise of Human Nature,Symposium,An Enquiry Concerning Human Understanding,The World as Will and Idea (Vol. 1 of 3),The Elementary Forms of the Religious Life,Utilitarianism,"The Will to Believe, and Other Essays in Popular Philosophy","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen",The inequality of human races
petersburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportioned,0.0,0.0,0.0006619524424221644,0.0,0.0005619165456986037,0.0,0.0,0.003523103592198559,0.0,0.0,0.0005637401345441222,0.0,0.0009713083126673395,0.00024365539391411992,0.0007921745137777179,0.0008607973031941273,0.0011085110837618787,0.0,0.0006145622775840842,0.0,0.0004509690739460808,0.0015242588627477477,0.0,0.0,0.000223917592738945
esthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fades,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terrestrial,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standards,0.0002624882405441523,0.0,0.0003309762212110822,0.0,0.0,0.0003024243258097776,0.0,0.0006405642894906471,0.00032387614568354353,0.0033613504573366624,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0005738648687960849,0.0,0.0,0.0,0.00030703655290719405,0.0,0.006478100166677928,0.0002067801792772784,0.0,0.00044783518547789
cujus,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
just,0.002362394164897371,0.0011612329450737305,0.006288548203010561,0.00107733492566128,0.001966707909945113,0.003629091909717332,0.0044739255336049884,0.002882539302707912,0.0012955045827341741,0.004108317225633699,0.0011274802690882445,0.0006601649301732987,0.0004856541563336698,0.0009746215756564797,0.00039608725688885897,0.00028693243439804244,0.0011085110837618787,0.0017410773170703194,0.0015364056939602105,0.005219621399422299,0.0006012920985947745,0.0007621294313738739,0.0018610216134955055,0.0009128509845500332,0.00134350555643367
uncouth,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dripped,0.0,0.0,0.0,0.0,0.0,0.0,0.0005592406917006236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lick,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rouen,0.0,0.0011612329450737305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
wealth,0.0002624882405441523,0.0,0.0003309762212110822,0.0,0.00028095827284930184,0.0,0.0,0.0009608464342359706,0.00032387614568354353,0.0,0.0,0.0009902473952599481,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0003482154634140639,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0002282127461375083,0.000223917592738945
