,The Picture of Dorian Gray,The Prince,The Republic,The Problems of Philosophy,Second Treatise of Government,Beyond Good and Evil,Siddhartha,The Communist Manifesto,On Liberty,Democracy and Education: An Introduction to the Philosophy of Education,The Poetics of Aristotle,The Consolation of Philosophy,Ethics,The Antichrist,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,Nature,A Treatise of Human Nature,Symposium,An Enquiry Concerning Human Understanding,The World as Will and Idea (Vol. 1 of 3),The Elementary Forms of the Religious Life,Utilitarianism,"The Will to Believe, and Other Essays in Popular Philosophy","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen",The inequality of human races
,0.96149442511323,0.9510497820153853,0.8876782252881223,0.9099889005418944,0.9462674629564486,0.9474954127620334,0.9518276572744613,0.9134446768136628,0.9327632995686054,0.9142873243955721,0.9372179736796031,0.9874416943067115,0.9649948086350018,0.9621951505668596,0.8852550191465998,0.9273656279744732,0.9486083599292277,0.8799404760473395,0.948269594312242,0.9336981573907771,0.9853674265721867,0.8958831465799887,0.9817922912085179,0.9687631073537226,0.964636989519375
possibilities,0.0,0.00029030823626843263,0.0006619524424221644,0.006104897912080586,0.0011238330913972074,0.004233940561336887,0.0008388610375509353,0.0009608464342359706,0.0016193807284177175,0.002240900304891108,0.002818700672720611,0.00033008246508664936,0.0009713083126673395,0.002192898545227079,0.00396087256888859,0.00028693243439804244,0.0033255332512856363,0.0010446463902421916,0.0018436868327522528,0.004605548293607911,0.002705814443676485,0.006859164882364864,0.002481362151327341,0.0013692764768250497,0.000223917592738945
antiquated,0.0,0.0008709247088052979,0.0006619524424221644,0.0,0.0,0.0003024243258097776,0.0,0.0006405642894906471,0.0,0.0007469667682970361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010446463902421916,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
novelties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.00015032302464869363,0.0,0.0,0.0,0.000223917592738945
lesson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0017215946063882546,0.0,0.0006964309268281278,0.0,0.0,0.0,0.0007621294313738739,0.0,0.0,0.0
jump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mutilation,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discoverable,0.0005249764810883046,0.0,0.0009929286636332466,0.0014364465675483732,0.00028095827284930184,0.0021169702806684435,0.0002796203458503118,0.0009608464342359706,0.0006477522913670871,0.0007469667682970361,0.003100570739992672,0.0004951236976299741,0.0,0.0007309661817423598,0.004753047082666308,0.0,0.002494149938464227,0.0,0.007989309608593094,0.0024562924232575524,0.000751615123243468,0.0,0.0006203405378318352,0.0011410637306875414,0.00044783518547789
integrity,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0007309661817423598,0.0,0.0008607973031941273,0.0,0.0,0.0,0.0,0.00015032302464869363,0.0,0.0002067801792772784,0.0,0.0
proffering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
staggering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intimately,0.0,0.0,0.0009929286636332466,0.0,0.0,0.0,0.0,0.0,0.0012955045827341741,0.0014939335365940722,0.0002818700672720611,0.0,0.0,0.00024365539391411992,0.0,0.0005738648687960849,0.0005542555418809393,0.0003482154634140639,0.0006145622775840842,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
evangelical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detained,0.0,0.0,0.0006619524424221644,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calling,0.0,0.0,0.0,0.0003591116418870933,0.0,0.0,0.0005592406917006236,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0002428270781668349,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.0
bestowed,0.0,0.0,0.0,0.0,0.00028095827284930184,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0006145622775840842,0.00030703655290719405,0.0,0.00038106471568693693,0.0,0.0,0.0
artizans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027712777094046967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disapproved,0.0002624882405441523,0.0,0.0003309762212110822,0.0,0.0,0.0003024243258097776,0.0002796203458503118,0.003523103592198559,0.0009716284370506306,0.0,0.0002818700672720611,0.0,0.0002428270781668349,0.0,0.00039608725688885897,0.0,0.0,0.0013928618536562555,0.0003072811387920421,0.0009211096587215822,0.00015032302464869363,0.00038106471568693693,0.0,0.0002282127461375083,0.000223917592738945
cooked,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
valid,0.0,0.0,0.0,0.00107733492566128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006140731058143881,0.0,0.0,0.0,0.0,0.0
riches,0.0,0.0,0.0009929286636332466,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.00016504123254332468,0.0,0.0,0.00039608725688885897,0.0008607973031941273,0.00027712777094046967,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
annihilate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006145622775840842,0.0,0.0,0.0,0.0,0.0006846382384125249,0.0
disclosed,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.00032028214474532355,0.00032387614568354353,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
givenness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
filtered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
ll,0.0,0.0,0.0,0.0,0.0,0.0,0.0033554441502037413,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melanesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
warranty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009716284370506306,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0002282127461375083,0.0
saxon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
molecules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
pi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637401345441222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquittal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
penned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passionate,0.002362394164897371,0.0,0.0003309762212110822,0.0,0.0011238330913972074,0.0003024243258097776,0.0002796203458503118,0.0,0.00032387614568354353,0.0,0.0002818700672720611,0.0011552886278032727,0.0007284812345005046,0.0007309661817423598,0.00039608725688885897,0.0008607973031941273,0.0030484054803451665,0.003133939170726575,0.002765530249128379,0.0,0.0,0.0,0.0028949225098818974,0.003194978445925116,0.0
danaro,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awkwardness,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
throat,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000671752778216835
project,0.0005249764810883046,0.0005806164725368653,0.0006619524424221644,0.0007182232837741866,0.0005619165456986037,0.0006048486516195553,0.0005592406917006236,0.0006405642894906471,0.0006477522913670871,0.0007469667682970361,0.0005637401345441222,0.00033008246508664936,0.0004856541563336698,0.0007309661817423598,0.001980436284444295,0.0005738648687960849,0.0005542555418809393,0.0006964309268281278,0.0009218434163761264,0.0006140731058143881,0.00030064604929738725,0.0007621294313738739,0.0004135603585545568,0.0006846382384125249,0.00044783518547789
boston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738648687960849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
libels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044783518547789
jonah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.0
paid,0.0,0.0,0.0006619524424221644,0.0,0.0,0.0003024243258097776,0.0,0.00032028214474532355,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.00038106471568693693,0.0,0.0002282127461375083,0.000223917592738945
sint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
fever,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027712777094046967,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
objections,0.0010499529621766093,0.00029030823626843263,0.0003309762212110822,0.030165377918515836,0.0011238330913972074,0.0015121216290488882,0.0002796203458503118,0.0012811285789812942,0.0016193807284177175,0.0037348338414851805,0.004791791143625039,0.00016504123254332468,0.0007284812345005046,0.0007309661817423598,0.009110006908443756,0.007460243294349103,0.012193621921380666,0.0003482154634140639,0.012291245551681684,0.01136035245756618,0.002705814443676485,0.008764488460799549,0.004135603585545568,0.001597489222962558,0.000671752778216835
lasted,0.0,0.0005806164725368653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044783518547789
wags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dione,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restating,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
heracleitus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008456102018161833,0.0,0.0,0.00048731078782823984,0.0,0.0,0.0,0.0006964309268281278,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0006846382384125249,0.0
stick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0002067801792772784,0.0,0.0
hereafter,0.0,0.0,0.0,0.0,0.00028095827284930184,0.0,0.0,0.0,0.0,0.0,0.0002818700672720611,0.00016504123254332468,0.0,0.0,0.0,0.00028693243439804244,0.00027712777094046967,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recourse,0.0,0.0005806164725368653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002818700672720611,0.0,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0,0.0,0.0,0.00038106471568693693,0.0,0.0,0.0
refinements,0.0002624882405441523,0.0,0.0,0.0,0.0,0.002721818932287999,0.0,0.0,0.0,0.00037348338414851804,0.0,0.00016504123254332468,0.0,0.0,0.00039608725688885897,0.00028693243439804244,0.0005542555418809393,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
ingenuous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
unaltered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032028214474532355,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renaissance,0.0,0.00029030823626843263,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048731078782823984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044783518547789
cenotaph,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choosing,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004135603585545568,0.0,0.0
overwhelms,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0006601649301732987,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
zeuxis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637401345441222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantageous,0.0,0.0008709247088052979,0.0023168335484775753,0.0,0.0011238330913972074,0.0,0.0,0.0006405642894906471,0.0012955045827341741,0.001120450152445554,0.0,0.0,0.0,0.00024365539391411992,0.0015843490275554359,0.0005738648687960849,0.0011085110837618787,0.0003482154634140639,0.0018436868327522528,0.0006140731058143881,0.00015032302464869363,0.0011431941470608107,0.0002067801792772784,0.0013692764768250497,0.000223917592738945
siren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tribunal,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027712777094046967,0.0,0.0,0.0,0.0,0.00038106471568693693,0.0,0.0,0.00044783518547789
loftily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bawler,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiors,0.0,0.00029030823626843263,0.0,0.0,0.0014047913642465091,0.0,0.0,0.0006405642894906471,0.0006477522913670871,0.0014939335365940722,0.0002818700672720611,0.0,0.0,0.002923864726969439,0.0015843490275554359,0.0,0.0008313833128214091,0.0006964309268281278,0.0006145622775840842,0.0,0.0006012920985947745,0.0022863882941216215,0.0002067801792772784,0.0004564254922750166,0.000671752778216835
staked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
cut,0.0,0.0,0.0,0.0,0.0005619165456986037,0.0,0.0,0.0006405642894906471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0006964309268281278,0.0,0.0,0.0,0.00038106471568693693,0.0002067801792772784,0.0,0.000223917592738945
refining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
free,0.0,0.0008709247088052979,0.0,0.0003591116418870933,0.0014047913642465091,0.004233940561336887,0.0011184813834012471,0.0032028214474532357,0.0016193807284177175,0.0007469667682970361,0.0002818700672720611,0.00033008246508664936,0.002185443703501514,0.0026802093330553192,0.0007921745137777179,0.00028693243439804244,0.0005542555418809393,0.0017410773170703194,0.0003072811387920421,0.00030703655290719405,0.00030064604929738725,0.0,0.0004135603585545568,0.0009128509845500332,0.0
copartner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blasts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004951236976299741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ibid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gesänge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
interpose,0.0,0.00029030823626843263,0.0006619524424221644,0.0,0.0005619165456986037,0.0030242432580977765,0.0,0.0,0.0016193807284177175,0.0,0.0,0.0,0.0,0.0007309661817423598,0.0,0.0008607973031941273,0.0005542555418809393,0.0017410773170703194,0.0,0.0,0.0006012920985947745,0.0011431941470608107,0.0,0.0004564254922750166,0.0
aristotle,0.0,0.0,0.003640738433321904,0.0,0.0,0.0003024243258097776,0.0,0.0025622571579625884,0.0006477522913670871,0.0,0.0016912204036323667,0.00033008246508664936,0.0,0.0017055877573988396,0.0,0.0,0.0,0.010794679365835981,0.0003072811387920421,0.00030703655290719405,0.00015032302464869363,0.0,0.0002067801792772784,0.0002282127461375083,0.001119587963694725
romagna,0.0,0.0008709247088052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fought,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.00032028214474532355,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accidentally,0.0002624882405441523,0.00029030823626843263,0.0006619524424221644,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.00037348338414851804,0.0002818700672720611,0.0,0.0004856541563336698,0.00048731078782823984,0.00039608725688885897,0.0005738648687960849,0.0005542555418809393,0.0003482154634140639,0.0006145622775840842,0.00030703655290719405,0.0,0.0,0.0006203405378318352,0.0,0.0
pocket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048731078782823984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
rages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plundered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
divisions,0.0,0.0,0.0026478097696886575,0.0,0.0,0.0,0.0,0.0019216928684719413,0.0,0.00037348338414851804,0.0005637401345441222,0.0,0.0014569624690010093,0.0,0.00039608725688885897,0.0005738648687960849,0.002771277709404697,0.0003482154634140639,0.0,0.0009211096587215822,0.000751615123243468,0.0,0.0,0.0,0.000223917592738945
transported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032028214474532355,0.0,0.0007469667682970361,0.0002818700672720611,0.0,0.0,0.0,0.00039608725688885897,0.0011477297375921697,0.00027712777094046967,0.0006964309268281278,0.0009218434163761264,0.0,0.00030064604929738725,0.0,0.0,0.0,0.0
egyptians,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0,0.0,0.00032028214474532355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
nought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liberties,0.0,0.0011612329450737305,0.0003309762212110822,0.0003591116418870933,0.003933415819890226,0.0006048486516195553,0.0,0.00032028214474532355,0.01295504582734174,0.0,0.0,0.0,0.0,0.0,0.001188261770666577,0.00028693243439804244,0.0013856388547023484,0.0,0.0006145622775840842,0.0,0.00015032302464869363,0.0007621294313738739,0.0002067801792772784,0.0002282127461375083,0.0
regime,0.0,0.0,0.0,0.0007182232837741866,0.0,0.0,0.0,0.0006405642894906471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recording,0.0,0.0008709247088052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007469667682970361,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0002067801792772784,0.0004564254922750166,0.0
constitutions,0.0,0.0008709247088052979,0.0003309762212110822,0.0014364465675483732,0.00028095827284930184,0.000907272977429333,0.0,0.0016014107237266179,0.00032387614568354353,0.002240900304891108,0.0008456102018161833,0.00016504123254332468,0.0031567520161688532,0.0007309661817423598,0.0015843490275554359,0.0005738648687960849,0.0,0.0,0.0,0.0012281462116287762,0.001202584197189549,0.0011431941470608107,0.0,0.0009128509845500332,0.00044783518547789
quia,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.00015032302464869363,0.0,0.0,0.0,0.0
vilest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breeder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
residuum,0.0,0.0,0.0,0.0,0.0,0.0006048486516195553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
talent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039608725688885897,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
