track_id,track_name,artist,artist_id,album_id,album_name,track_duration
4tOmWjm1EJp1XZpeZ1Q8Bg,Its The Pee '97 - DJ Supa Dave Remix,PMD,3xgVb12lTabQh3FnxXgjQk,48tcyyXAaIWBer02QZN0eC,Its The Pee '97 (DJ Supa Dave Remix),194831
4tOmWjm1EJp1XZpeZ1Q8Bg,Its The Pee '97 - DJ Supa Dave Remix,Prodigy,1GwxXgEc6oxCKQ5wykWXFs,48tcyyXAaIWBer02QZN0eC,Its The Pee '97 (DJ Supa Dave Remix),194831
4tOmWjm1EJp1XZpeZ1Q8Bg,Its The Pee '97 - DJ Supa Dave Remix,DJ Supa Dave,3FpKDJOsemvY9kRUAtUpqG,48tcyyXAaIWBer02QZN0eC,Its The Pee '97 (DJ Supa Dave Remix),194831
2lDODk7inZnmUHbIjUnIwP,Running Away,VANO 3000,770glnH67Mk4u2D41sxAhx,0qD1Ymect5I2EamO4HE8ZB,Running Away,111786
2lDODk7inZnmUHbIjUnIwP,Running Away,BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,0qD1Ymect5I2EamO4HE8ZB,Running Away,111786
2lDODk7inZnmUHbIjUnIwP,Running Away,Samuel T. Herring,6K4I1MPd7m8IztUdtrF4YU,0qD1Ymect5I2EamO4HE8ZB,Running Away,111786
2eC43PWHMbUnwqCRZcbGfo,Exotica,Parcels,3oKRxpszQKUjjaHz388fVA,6tNAnVG8xrmMbINuWutrNy,Parcels,312300
0hkVWxNHbrTM6te1Qh0cd6,The Juggler,Fox,7nUaAynE8raMEGDejq4wa8,0qJ3lvoODCXLWl7zYxRFdb,Psychemagik Presents: Magik Sunrise,196093
4Un9eUJWcinbVPua8wzyR6,Namek,Green Piccolo,0Of8ndqAY23l2wV3sS6Zez,6PqYprp3mTcUeswnOU8t9Y,Light It Up,228990
4Un9eUJWcinbVPua8wzyR6,Namek,Ryan Celsius Sounds,2AtYJoC6VmUtkxonmVnbVR,6PqYprp3mTcUeswnOU8t9Y,Light It Up,228990
5Y2YTbb4TBOxJQ2pCu26LG,Cambodia,Green Piccolo,0Of8ndqAY23l2wV3sS6Zez,3TcvzsG0FDPxIzg37FLXPF,The Grind,190413
5Y2YTbb4TBOxJQ2pCu26LG,Cambodia,Ryan Celsius Sounds,2AtYJoC6VmUtkxonmVnbVR,3TcvzsG0FDPxIzg37FLXPF,The Grind,190413
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,4l4u9e9jSbotSXNjYfOugy,Let It Bleed,270773
1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6OHri5qNxwCdVSdyCslspd,Beggars Banquet (50th Anniversary Edition),378146
2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,0EdvGhlC1FkGItLOWQzG4J,14eK347GdWO4mBBx78tsut,Sublime,182746
4HDdOkT1ZgzSzZuGLTsKLn,Definition Of III - Remix,Planet Asia,7dGfoIWAb0h9eGpl3vEkVo,2E2cNOg52Ad0fEkWM7dN8q,Throwbacks,242320
4HDdOkT1ZgzSzZuGLTsKLn,Definition Of III - Remix,Madlib,5LhTec3c7dcqBvpLRWbMcf,2E2cNOg52Ad0fEkWM7dN8q,Throwbacks,242320
6cpl3HzIWJaSamlbFDpwnV,TURBO TENJIN - Instrumental,ENDRUN,0d0Ll49cYpsaCgid3yk2NM,3JhYnOCepOI1OqcZKkljkV,CZN'PASS INSTRUMENTALS,206983
0idm0enI1lx2R6d2G9Qij8,AIR K - Instrumental,ENDRUN,0d0Ll49cYpsaCgid3yk2NM,3JhYnOCepOI1OqcZKkljkV,CZN'PASS INSTRUMENTALS,240439
5HsSlMSb7u0VaJ7lgoCw0R,Needle on Face,DJ SCRATCH NICE,0MfeTyPtbuue9oZFIMD2wY,6xB1N5k68arOqms2mYvimO,Acupuncture Instrumentals,86624
5HsSlMSb7u0VaJ7lgoCw0R,Needle on Face,ENDRUN,0d0Ll49cYpsaCgid3yk2NM,6xB1N5k68arOqms2mYvimO,Acupuncture Instrumentals,86624
46slyBXIhS27caha6ROWzd,ASH Tray,ENDRUN,0d0Ll49cYpsaCgid3yk2NM,3FPISOYpU6pCEkPJVR2aPY,Buds Report2,133284
7o9eJirguykh3mMG7Dtuwc,Love Will Work It Out,Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,1Te2u0s1lL8axCGmE7pIRe,Love Will Work It Out,225461
7o9eJirguykh3mMG7Dtuwc,Love Will Work It Out,Aaron Frazer,4dwDVC6lrMINxVBxETE1AB,1Te2u0s1lL8axCGmE7pIRe,Love Will Work It Out,225461
3jmKIVOsWUULXZI2j3Umez,So Special (Gonna Last),Poptartpete,2JPBDCZC133viR1884BIEi,6DJPIlHJgAaqHozCxr7IZr,Palmas,124000
4VtbQx2koGlw8Ple6O2IZH,Tried And True,Ween,3u1ulLq00Y3bfmq9FfjsPu,0GOWw5YVpOmIX6mUtjLi30,Quebec,242000
6MDLO5bi8mGexqSwF9KmpH,Lilly,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp,5IFt4HfQU8t336zryKaAyr,What For?,267788
6vvXGXvqGCUW4pae6OXB7I,Hair Shop Hoes,Dubee,5cUqJ8FCTQZm6AAeTuHG2y,6EKC1hVawsFwWxnByeckno,A.K.A Sugawolf,353733
4AblNv2IZzFJnnifSzb9v5,Lipstick,Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,1GDEy7JQHzOvAIucRlXtGL,pom pom,200293
390AWnOn2rfe9FzQjYmxIH,Wicked Game,Chris Isaak,7290H8m1Dwt8G7jm1y9CQx,15WGW9fyEuS2cWp8aZkNpZ,Best of Chris Isaak (Remastered),286880
0455TNxuFqkgk4SUPumXdS,L.I.N.E.,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,7kkfSPYf0Bu685u3XF8hCW,L.I.N.E.,191737
4PBm6F4uoKFxrMs2lAMyC9,Friday (Strip Club),SpaceGhostPurrp,6yR6M6V6I7GhhYf6A7Wif9,6uVu5Afa5aBDTcQE6g9ZIh,Nasa Gang (Remastered),178257
5ubrbxqGOyY5bWcki4EKDb,High Ping,Reptilian God Mana,160Gy6ij0e6apiTHlAnZOd,2LKTdhJxNcmkVDRY0Sq8Do,Hologram Christ,111750
5ubrbxqGOyY5bWcki4EKDb,High Ping,BONES,5v2WhpA59TJSdPh7LCx1lN,2LKTdhJxNcmkVDRY0Sq8Do,Hologram Christ,111750
3YC7FYhduZbYObLRCdhANa,Rose Pink Cadillac,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,0JUuId9ZVeNiCk9KGtAUuv,Rose Pink Cadillac,261911
1Xx7wl3Na741ZuuF0pndp7,Fig in Leather,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,4B1W5FeDz8Z1jsYAZV4MdU,Ape in Pink Marble,193306
46mzEe4J7UwcTHTwDnWwnX,Pop Therapy,Video Age,4aTQ05Ddh21E2CJFSZy7ZW,57ZFBT6OuaSAwIohFLud1F,Pop Therapy,180906
0bBWVnzIEApqHFBB1q3hXE,Fire,Cobra Man,1hOZLmKpSs0uaKbGeiWSf9,3JBAAtqYtuEMO39t4lpN7t,New Driveway Soundtrack,230151
2O0bDAdizgQ4mtukrLDvVV,Fruitless Trees,Brainstory,0EqBE2VOwsHgSOrjsQCs5j,4gqMfrBZWbLuo18JMbjXQA,Brainstory,227337
1Ljfo02XERkieeSrc9Ttqx,Do You Wanna Live?,Los Porcos,7kyWPIMz2SMQfnfKVyiQ2T,0Vy9f28I3kaK1L4JxjoSsC,Porco Mio,404985
6GscqyLDxsiJTlzsIteXrp,Love Is Love,The Blackbyrds,7uykqYYhDUugFJgKZWXIWq,6idrZJZqD3UZ4o1WuhvBhp,Flying Start,286920
7E5p9vyjnx7C90DU8Jv1PI,California Dreamin',Eddie Hazel,3JVF9a4IJrL7sTSdjXxIqJ,5uUtn3Fkr4qWQUpJAmrLEf,"Game, Dames And Guitar Thangs",377106
6Pm9ZKB8Jj3BSmsTetRhFx,In The Moment,Jim James,1MhtYlJvUqfd2EgHSQTGK4,2wYw4vZlu7XwvtdQPRmsmL,Eternally Even,249053
3xePBvdmYTqrw1uGcbT896,Ulla Dulla,Traffik Island,2O71iVD48rxmEDZBbIhWAy,4rSNiLHbpSqX2nx7cs8aSJ,Sweat Kollecta's Peanut Butter Traffik Jam,154359
6Q758xM6hSNHHcqnTGFicv,Going Native,Summer Salt,3MATPJ9tYbcMhw5VOZrRU6,2J4nUOT2sxQ80IdsbnoxGM,Going Native,310879
39eFFeKv7QaTBIukk7TYVu,Summer In The City,Quincy Jones,3rxIQc9kWT6Ueg4BhnOwRK,4fbKwL6dBzBF07dOkc2yRB,You've Got It Bad Girl,244440
5MYFw4T2gy52pOGBN4EYHS,Stay Fly,Three 6 Mafia,26s8LSolLfCIY88ysQbIuT,0kTLdP4XPeJGsbr2L8ikyF,Most Known Unknown (Explicit),236600
3ezJklJWZRm6pWI3DQjW9e,Right,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,5oYObkUoxoZa52Z5FdzjPT,Modern Love,308913
6Flu33CZc4xS2gkA6cRcNh,Texas Sun,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,5BAukn6AWk5tubfqjtN8gd,Texas Sun,252811
6Flu33CZc4xS2gkA6cRcNh,Texas Sun,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,5BAukn6AWk5tubfqjtN8gd,Texas Sun,252811
