0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.457,0.523,2,-7.846,1,0.0256,0.369,0.0691,0.312,0.604,150.096,4,Shake Your Lonely,Twin Peaks,38,215687,2018-02-09
0.707,0.416,1,-5.79,0,0.0682,0.0332,0.0,0.0693,0.528,114.904,4,Cactus Dream,Sugar Candy Mountain,39,77000,2014-01-31
0.876,0.519,11,-6.531,1,0.143,0.202,0.0,0.108,0.158,94.981,4,Plug Walk,Rich The Kid,68,175229,2018-03-30
0.714,0.498,2,-8.154,0,0.0545,0.753,0.000463,0.0816,0.723,92.71,4,Come and Be a Winner,Sharon Jones & The Dap-Kings,52,176560,2017-11-17
0.865,0.699,8,-6.062,0,0.196,0.0867,0.0,0.295,0.705,144.949,4,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne),Birdman,45,219121,2021-05-21
0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,4,Many Men,21 Savage,68,201856,2020-10-02
0.602,0.299,0,-14.021,0,0.0312,0.852,0.83,0.105,0.0725,110.02,3,Maithuna,Brad stank,29,264082,2018-12-07
0.4,0.628,4,-6.801,1,0.034,0.169,0.00126,0.129,0.399,155.757,3,Faith Healer,Julien Baker,44,174773,2021-02-26
0.545,0.526,9,-8.578,0,0.0396,0.728,0.48,0.0936,0.965,147.074,3,The Take,Woods,23,337026,2016-04-08
0.47,0.524,9,-7.228,1,0.0401,0.727,9.84e-05,0.296,0.533,179.755,4,You'll Be on My Mind,Jakob,43,203333,2016-01-15
0.575,0.691,5,-7.595,0,0.03,0.0377,0.563,0.0657,0.734,131.583,4,Ferus Gallery,Allah-Las,48,215973,2014-09-15
0.535,0.234,4,-16.826,1,0.0448,0.927,0.565,0.0937,0.561,182.081,4,Hawaiian Boi,Triathalon,41,161471,2014-10-21
0.834,0.652,6,-8.735,0,0.0751,0.0474,0.89,0.0747,0.873,124.035,4,Les Là-Bas - Bonobo Remix,Henri Texier,39,317419,2016-05-13
0.54,0.863,9,-4.422,0,0.0432,0.0107,0.0014,0.286,0.326,126.038,4,Feel The Love,Cut Copy,34,267546,2008-01-01
0.587,0.494,11,-12.166,0,0.0414,0.0821,0.0106,0.0426,0.969,154.016,4,Melty Caramelo,Divino Niño,33,236637,2019-06-21
0.628,0.561,3,-7.563,0,0.0367,0.264,0.551,0.115,0.308,139.952,4,Ice Dreaming (Less Is More Mix),Holy Hive,28,284362,2019-12-16
0.781,0.571,11,-8.479,0,0.0261,0.144,0.77,0.0931,0.654,102.005,4,Haunted Love,Blue Material,32,272033,2019-04-19
0.447,0.785,5,-7.174,0,0.037,7.88e-05,0.108,0.325,0.82,124.125,4,Loved,levitation room,34,231173,2015-02-07
0.251,0.661,5,-9.108,1,0.0318,0.016,0.198,0.104,0.489,162.407,4,Where's the Money?,Foxygen,23,272920,2013-05-28
0.468,0.748,7,-11.69,1,0.552,0.405,0.0,0.128,0.649,82.06,4,Now Is My Time,Alan Felker,18,255248,2022-10-17
0.434,0.441,9,-12.769,0,0.0652,0.731,0.0148,0.0871,0.466,148.348,4,We Almost Lost Detroit,Gil Scott-Heron & Brian Jackson,38,321040,1977
0.736,0.816,11,-7.306,0,0.0465,0.34,0.048,0.0977,0.909,162.065,4,Apartment (feat. Benny Sings),Free Nationals,52,184573,2019-12-13
0.55,0.912,4,-7.359,1,0.0661,0.0852,0.00449,0.347,0.677,150.873,4,Regular Guy,Naked Giants,34,111146,2021-10-19
0.812,0.464,1,-11.773,1,0.122,0.0517,2.58e-06,0.121,0.509,92.134,4,Steel On A Mission '96,Lil 1/2 Dead,27,244800,1996-01-01
0.187,0.324,4,-17.517,0,0.0331,0.919,0.928,0.143,0.413,166.32,3,Solas,Gibran Alcocer,60,146000,2022-11-11
0.587,0.748,4,-9.252,0,0.302,0.0587,0.0,0.0616,0.574,90.915,4,Mobb Niggaz (The Sequel) - prod. The Alchemist,Infamous Mobb,27,265440,2002-03-26
0.655,0.791,1,-12.199,1,0.031,0.0352,0.00979,0.0812,0.964,141.384,4,Shadazz,Suicide,28,265333,1999-06-28
0.539,0.704,0,-6.73,1,0.053,0.00827,0.132,0.133,0.68,186.033,4,Didn't I - Dave Allison Rework,Darondo,48,328000,2014-05-13
0.537,0.839,9,-7.294,0,0.0542,0.000816,0.349,0.157,0.559,91.465,4,Hey Spaceman!,Tracy Bryant,26,180280,2016-02-19
0.581,0.293,5,-8.033,0,0.312,0.413,7.21e-05,0.176,0.686,180.293,4,I Wonder (feat. Iamddb + Fox),The Mouse Outfit,39,237818,2017-10-03
0.259,0.0272,5,-38.156,1,0.0358,0.987,0.924,0.0904,0.105,130.599,5,For All We Know,Wes Montgomery Trio,19,270266,1966-01-01
0.69,0.525,2,-10.074,1,0.204,0.00561,0.000228,0.262,0.587,75.96,4,Not Long Ago,Onra,14,205092,2018-02-16
0.611,0.225,10,-16.551,1,0.0853,0.91,0.153,0.133,0.615,147.484,4,Just One Of Your Kisses,Ralfi Pagan,42,170127,1971-01-01
0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,3,Crazy - Single Version,Patsy Cline,63,164573,1961-11-27
0.723,0.8,6,-9.598,1,0.37,0.374,0.0,0.0919,0.723,94.01,4,Thin Red Line,Typical Cats,17,306773,2001-02-19
0.508,0.101,11,-15.051,1,0.0313,0.846,0.000801,0.0919,0.171,111.58,4,I Waited for You,Daniel Norgren,47,204840,2015-10-16
0.575,0.902,1,-3.726,1,0.316,0.0915,0.0,0.218,0.624,86.667,4,I'm Back,AZ,25,192466,2002-01-01
0.676,0.532,7,-8.566,1,0.0293,0.37,0.834,0.102,0.833,108.674,4,Trains,Wampire,22,206893,2013-05-14
0.663,0.459,8,-9.143,1,0.0365,0.0302,0.456,0.109,0.426,140.166,4,Twinkle,Hether,41,194398,2021-01-15
0.31,0.602,11,-6.359,0,0.0335,0.715,0.178,0.758,0.271,94.207,4,I’ve Been Daydreaming My Entire Life,Washed Out,21,129733,2017-06-30
0.69,0.397,2,-12.234,0,0.0279,0.851,0.00122,0.0746,0.345,86.976,4,En mis besos,Café Quijano,45,214466,2001-05-25
0.612,0.792,7,-7.382,0,0.0278,0.021,0.951,0.0987,0.546,115.111,4,All I Need,Lee Fields & The Expressions,35,214062,2014-06-02
0.511,0.884,9,-3.109,0,0.0913,0.000733,0.803,0.106,0.0864,109.088,4,Looking For Tracy Tzu,Carpenter Brut,47,257614,2015
0.761,0.526,8,-11.009,1,0.0792,0.122,4.14e-06,0.0882,0.632,100.998,4,Central Heating,Heatwave,30,289120,1978-03-31
0.743,0.58,10,-11.081,0,0.0779,0.114,0.0,0.17,0.81,82.429,4,Be Alright,Zapp,49,163666,1993-09-28
0.335,0.403,5,-13.184,1,0.0396,0.789,3.28e-05,0.0761,0.315,141.015,4,Sum of My Cares,The Long Faces,44,261500,2018-04-14
0.608,0.866,10,-4.084,1,0.0449,0.252,0.0,0.149,0.359,110.026,4,Old Habits Die Hard,Mick Jagger,54,267626,2004-01-01
